Task,Image,UserID,,,Answer,,,,
Task 01,seeker,participant-03,,,Show all creation of instances of the exception subclasses AssertionFailure,,,,
Task 03,seeker,participant-03,,,I selected asMetacelloVersionNumber and asked to see the messages sent from this selector. 1 - testApproxVersion02 2 - testApproxVersion02,,,,
Task 05,seeker,participant-03,,,"I selected PRHeader and asked to see the instances created with the same name. 3 instances from ""document asPillar""",,,,
Task 09,seeker,participant-03,,,I asked to see the messages received on all the code and filter by scale:. 1 - NSPowPowScale #(0) 2 - NSPowPowScale #(1) 3 - NSPowScale #(9) 4 - NSPowPowScale #(9) ... 14 - NSBilinearScale #(2159.1433486454753),,,,
Task 14,seeker,participant-03,,,I passed the executor until newContext was initialized and then I requested these assignments for this variable.,,,,
Task 03,control,participant-27,,,twice each time from testApproxVersion02,,,,
Task 06,control,participant-27,,,once method: asPillar,,,,
Task 08,control,participant-27,,,7 objects: classes: HiRulerBuilder,HiRuler,HiNode * 3,HiLink * 2,
Task 12,control,participant-27,,,paint parent isFixed encompassingRectangle baseRectangle matrix connectedLines shouldUpdateLines,,,,
Task 14,control,participant-27,,,28  nil 35,,,,
Task 01,seeker,participant-27,,,"Roassal RSMonitorEvent >> assert:description: (oups, it's Object method, so I guess it is further down in the stack, but I cannot see it now",,,,
Task 05,seeker,participant-27,,,3 each time by calling #asPillar,,,,
Task 07,seeker,participant-27,,,4 objects: MicRootBlock MicOrderedListBlock MicListItemBlock *2,,,,
Task 11,seeker,participant-27,,,showRectangles 	shapes 	fixedShapes 	nodes 	edges 	animations 	clearBackground 	color 	extent 	camera,,,,
Task 13,seeker,participant-27,,,#() aCollection [ 3items] ...,,,,
Task 01,control,participant-04,,,Halt>>#Exception,,,,
Task 03,control,participant-04,,,This message is called twice. I didn't find from which method,,,,
Task 02,seeker,participant-04,,,STONWriterError class,,,,
Task 04,seeker,participant-04,,,"7 times by ""a Generator""",,,,
Task 08,seeker,participant-04,,,HiRuleBuilder HiRuler HiNode x2 HiLink x2,,,,
Task 10,seeker,participant-04,,,"color: is called twice on ""shape"" with aregument value ""scaledValue""",,,,
Task 12,seeker,participant-04,,,I didn't find any instance variable that was used to I assume the answer is : none.,,,,
Task 01,control,participant-01,,,RSMonitorEvents,,,,
Task 03,control,participant-01,,,2 testApproxVersion02,,,,
Task 05,control,participant-01,,,3 first third fifth,,,,
Task 09,control,participant-01,,,NSPOwScale 9 4661900,,,,
Task 14,control,participant-01,,,28 35,,,,
Task 02,seeker,participant-01,,,STONJSON,,,,
Task 04,seeker,participant-01,,,7,,,,
Task 08,seeker,participant-01,,,"6 HiRulerBuilder, HiRuler, HiNode, HiLink",,,,
Task 10,seeker,participant-01,,,0 (color:)      3 (color),,,,
Task 12,seeker,participant-01,,,no one,,,,
Task 02,control,participant-13,,,I removed the catch clauses. Both come from: STONWriter >> #error:,,,,
Task 03,control,participant-13,,,"Twice, both from testApproxVersion02. I added ""self halt"" in all implementors",,,,
Task 07,control,participant-13,,,"11 times MicroDownParser, MicRootBlock, MicOrderedListBlock, MicListItemBlock I had to instrument the basicNew method using this query ManifestMicrodown class package definedClasses do:[ :c | 	c class compile: 'basicNew 	self halt. 	^ super basicNew'].",,,,
Task 10,control,participant-13,,,"Didn't finish it, but basically i'd implement this by adding an halt in every implementor with such a query (again, unfinished). #color: implementors 		  collect: [ :m | m methodClass -> m ast ] 		  thenDo: [ :a | |message| 			  a halt. 			message := a value body addStatement: (RBMessageNode receiver: RBVariableNode selfNode selector: #halt). 			  a key class compile: message ]",,,,
Task 11,control,participant-13,,,"Didn't do it, would involve a complex query as the previous ones.",,,,
Task 01,seeker,participant-13,,,#onNewEventDo: I used the query all instance creation of exception subclass,,,,
Task 04,seeker,participant-13,,,"10, from #next and #testAtEnd. I used the seeker query all messages sends, filtering to atEnd, and and looking at each of them",,,,
Task 06,seeker,participant-13,,,Once in #asPillar. Used all instances creations of selected class .,,,,
Task 09,seeker,participant-13,,,"NSPowPowScale, NSPowScale, NSLinearScale, NSBilinearScale. In the order returned by the query:  0, 1, 9, 9, 9, 3.0000000000000004,0,1,0,36756666,4661900,4661900,4661900,2159.1433486454753. Hopefully with no mistakes, it wasn't easy to do. Used the query messageSends with selector #scale: Manually gathered the arguments, as I didn't know how to programatically query it. Maybe I missed something?",,,,
Task 13,seeker,participant-13,,,"pragmas values #() an OrderedCollection [3 items] (RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))  source values methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true> methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true> (twice the same object)  keywordsPositions nil #(1)  Used Query for all the assignements of instance variable of objects whise class name matches selection (RBMethodNode). Couldn't make object centric query work, as I would have prefered.",,,,
Task 04,control,participant-29,,,"7 times: testAtEnd 4, next 3 I browsed the next implementation in Generator to be sure, but I already knew it",),,,
Task 06,control,participant-29,,,there is 1 instance created (since the parser identifies just one code block). I debugged the test (option in calypso) and inspected the result to be sure.,,,,
Task 08,control,participant-29,,,"there are 6 instances. The ruler, the HiRulerBuilder and 4 links/nodes in the ruler, that I obtained by debugging the test, inspecting the ruler and executing this:   ""a HiRuler"" ((((self class slots  	flatCollect: [ :each |  		each read: self ]) 	inject: #() 	into: [ :all :each | all, ((each class = LinkedList)  			ifTrue: [ each asArray ] 			ifFalse: [ { each } ]) ]) asSet)  select: [ :a | a class package name = 'Hiedra' ]) size.  (is a bit odd, but I am under pressure :P)",,,,
Task 12,control,participant-29,,,"parent, paint, isFixed, matrix, shouldUpdateLines, baseRectangle, extent, encompassingRectangle, path last two ""modified"" is questionable since they were nil before setting them to nil again.  I debugged the test and step into in the creation of the variable, then I verified no other value is changed during execution by going to the end and inspect the resulting value to see what values where assigned.  Is ""questionable"" because a value can change during execution and then adopt nil again, but verify that woult take me a lot of time.",,,,
Task 14,control,participant-29,,,"3 values: 28, nil, 35 nil is during internal step. I debugged the  test and stepped on it to know what was happening.",,,,
Task 03,seeker,participant-29,,,"2 times, both from testApproxVersion02. I debugged with seeker, right click and select seekerqueries/messages/all message sends with selected selector",,,,
Task 05,seeker,participant-29,,,"3 creations, all on MicHeaderBlock>>#asPillar  I used ""All Instances Creation of class named as selection"" option",,,,
Task 07,seeker,participant-29,,,"there are 4 creations. I used All Instances Creation option, then filtered by prefix.",,,,
Task 11,seeker,participant-29,,,"10 assignments, I used 'All the assignments of instance variables, of the object currently pointed by the selected variable'. I love this tool.",,,,
Task 13,seeker,participant-29,,,"pragmas = 2 keywordPositions = 2 source = 1  I used 'All the assignments of instance variables, of the object currently pointed by the selected variable'.  Maybe a filter/column by variable would be useful?",,,,
Task 01,control,participant-28,,,RSMonitorEvents >> onNewEventDo:,,,,
Task 04,control,participant-28,,,GeneratorTest >> testAtEnd (4 times) Generator >> next (3 times),,,,
Task 06,control,participant-28,,,One instance. From MicCodeBlock >> asPillar,,,,
Task 09,control,participant-28,,,NSPowPowScale 0 NSPowPowScale 1 NSPowScale 9 NSPowPowScale 9 NSLinearScale 3.0000000000000004 NSBilinearScale 3.0000000000000004 NSPowPowScale 0 NSPowPowScale 1 NSPowPowScale 0 NSPowPowScale 36756666 NSPowScale 4661900 NSPowPowScale 4661900 NSLinearScale 2159.1433486454753 NSBilinearScale 2159.1433486454753  (but it was not easy!),,,,
Task 13,control,participant-28,,,pragmas:  #() an OrderedCollection(RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))  source:  methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true> methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>  keywordsPositions:  nil an IntegerArray(1),,,,
Task 02,seeker,participant-28,,,"The first exception is signaled by STONWriter >> writeObject:do: through Point >> stonOn: The second exception is signaled by STONWriter >> writeObject:do: through OrderedCollection >> stonOn:  Comment: After a time travel, it would be nice to return home, to the original method which I started debugging It was not clear for me how to go there",,,,
Task 03,seeker,participant-28,,,Only two times from the test itself,,,,
Task 07,seeker,participant-28,,,Four instances:  MicRootBlock (1 instance) MicOrderedListBlock (1 instance) MicListItemBlock (2 instance)  Comment It would be nice if the columns in the table were sortable,,,,
Task 10,seeker,participant-28,,,There are two senders of #color: message. Both are instances of class RSBox.  Arguments:  1. Color green 2. Color red,,,,
Task 11,seeker,participant-28,,,"I don't know. I tried Object Centric > All instance variables assigned, of the selected object But it shows me an empty list",,,,
Task 02,control,participant-26,,,STONWriter>>#writeObject:do:,,,,
Task 03,control,participant-26,,,"2x, both from testApproxVersion02",,,,
Task 07,control,participant-26,,,"Unfinished:  This is hard to answer, I would need to put a halt in all the classes, then execute and do the analysis manually. Would take a long time and there is a good chance to forget some intantiation methods.",,,,
Task 10,control,participant-26,,,"Unfinished  There are 61 method called #color. I could now add a Transcript output in each of them, but that would take a long time...  I tried to do it reflectively but gave up (add the Transcript output using  a metalink)",,,,
Task 11,control,participant-26,,,"Unfinished  This would be doable but slow if object speficic breakpoints would be available: we could add a ""halt on write"" breakpoint and then manually take notes. But that option seems to not be avaible. And even if, this could be impractical depending on how many vars and writes there are.",,,,
Task 01,seeker,participant-26,,,RSMonitorEvents>>#onNewEventDo:,,,,
Task 04,seeker,participant-26,,,7 times.    Generator>>next  GeneratorTest>>#testAtEnd,,,,
Task 06,seeker,participant-26,,,"1 time, via calling #new from MicCodeBlock>>#asPillar",,,,
Task 09,seeker,participant-26,,,14 cases  NSPowPowScale 0 NSPowPowScale 1 NSPowScale 9 NSPowPowScale 9 NSLinearScale 9 NSBilinearScale 3.0 NSPowPowScale 0 NSPowPowScale 1 NSPowPowScale 0 NSPowPowScale 36756666 NSPowScale	4661900 NSPowPowScale 4661900 NSLinearScale 4661900 NSBilinearScale 2159.1433486454753,,,,
Task 13,seeker,participant-26,,,"pragmas  #()  ""an OrderedCollection(RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))""      source  assigned twice:   ""'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>'"" 	     keywordsPositions  an IntegerArray [1 item] (1)",,,,
Task 01,control,participant-10,,,"The exception is raised inside the onNewEventDo method, from RSMonitorEvents class. To find out, I open a Playground window and run the test code without the assert.",,,,
Task 05,control,participant-10,,,"3 instances of PRHeader are created. This information is presented by the asserts of the test method. But to confirm, I inspected the document children array and saw that there were 5 objects: 2 PRParagraph and 3 PRHeader. PRParagraph and PRHeader objects are created from asPillar method.",,,,
Task 07,control,participant-10,,,"I believe only one, which the parser object that calls the parse method is associated with. I came to this conclusion by browsing through the implementors of the parser object. There is the MicAbstractBlock class which is the only class in the Microdown package.",,,,
Task 11,control,participant-10,,,"Apparently only the instance variable camera. However, of course other variable instances are modified in the add method, but I couldn't figure out which ones.",,,,
Task 13,control,participant-10,,,To find the values I put some Transcripts show inside the test code. The results were as follows:  Transcript show: aRBMethod pragmas.  an OrderedCollection(RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))methodPragmaAfterBeforTemps  Transcript show: aRBMethod source. <hello: 5> | aTemp | <world: #ok>  Transcript show: aRBMethod keywordsPositions. <blue: true>an IntegerArray(1),,,,
Task 03,seeker,participant-10,,,"Only two messages with the asMetacelloVersionNumber selector were sent. They were sent from method testApproxVersion02. To find out I right clicked on asMetacelloVersionNumber and then SeekerQueries, Messages, All Message Sends with selected selector.",,,,
Task 06,seeker,participant-10,,,"Only one instance of the PRCodeblock class was created. It was created from the new method. To find out I selected the PRCodeblock from the assert line, right clicked, went to SeekerQueries, Instances Creations, All Instances Creation of class named as selection. To find out the method I clicked on Go Here in the result.",,,,
Task 08,seeker,participant-10,,,"6 instances of classes from the Hiedra package were created. They were created from the classes: HiRulerBuilder, HiRuler, HiNode, HiLink.",,,,
Task 12,seeker,participant-10,,,"The instances variables modified are: paint, isFixed, encompassingRectangle, path, parent, connectedLines, shouldUpdateLines, baseRectangle, matrix. To find out I selected the variable b1, then clicked to SeekerQueries, Assignments - Object Centric, All the assignments of instance variables, of the object currently pointed by the selected variable.",,,,
Task 14,seeker,participant-10,,,"The different values of the instance variable pc of the newContext object are: nil, 33, 34 and 35. To find out I selected the variable pc, then clicked to SeekerQueries, Assignments - Object Centric, All the assignments of instance variables, of the object currently pointed by the selected variable.",,,,
Task 01,control,participant-09,,,Unfinished. I didn't know how to debug the method #onNewEventDo: [ ],,,,
Task 04,control,participant-09,,,it called 4 times. i got the unswer by debugging the method #atEnd to understand what it returns,,,,
Task 06,control,participant-09,,,"One instance are created from MicRootBlock>>#asPillar.  i got the answer by inspecting the MicRootBlock fileds, especially it's children",,,,
Task 09,control,participant-09,,,"Unfinished. I don't understand the questions, but for the first one i would say NSPowScale",,,,
Task 13,control,participant-09,,,* pragmas: an OrderedCollection(RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>)) * source: methodPragmaAfterBeforTemps * keywordsPositions: an IntegerArray(1),,,,
Task 02,seeker,participant-09,,,"Unfinished, i still not understand how to use sseker to got the answer",,,,
Task 03,seeker,participant-09,,,"the selector is sent 2 times from the both messages.  Got the answer from the queries command of Seeker dubbuger,  in particular from ""query for all message sends with...""",,,,
Task 07,seeker,participant-09,,,"4 instances are created. got answer from the command ""insatnce creation"" and by doing a filter(Microdown) of all the results",,,,
Task 02,control,participant-22,,,STONWriter>>#error:,,,,
Task 04,control,participant-22,,,4 times. 3 TestAsserter>>#deny and 1 Object>>#assert:,,,,
Task 08,control,participant-22,,,"1, HiRulerBuilderTest",,,,
Task 10,control,participant-22,,,I didn't find #color:.,,,,
Task 12,control,participant-22,,,No one.,,,,
Task 01,seeker,participant-22,,,RSMonitorEventsTest>>#testNoTarget,,,,
Task 03,seeker,participant-22,,,"2, MetacelloVersionNumber",,,,
Task 05,seeker,participant-22,,,"3, #new.",,,,
Task 09,seeker,participant-22,,,"NSPowPowScale, NSPowScale, NSLinearScale, NSBilinearScale.  0, 1, 9, 9, 9, 3.00000004, 0.5, 0.5, 0,36756666, 4661900, 4661900, 2159.1433486454753",,,,
Task 14,seeker,participant-22,,,I couldn't find.,,,,
Task 02,control,participant-20,,,"The errors come from method STONWriter>>#writeOnject:do:  I debuged the test, then I have ""inspected"" the problematic expression waiting for a debugger to open. I use these debuggers to identify the methods",,,,
Task 04,control,participant-20,,,7 times 4 times by atEnd 3 times by next   I first executed the full test in debug mode to check that the variable generator is always a generator. Then I put a halt in the method atEnd and I executed the test counted the number of halt.  With a large number i would have created a global variable that count for me,,,,
Task 08,control,participant-20,,,"6 instances From: HiRulerBuilder, HiRuler, HiNode, and HiLink  To detect them, I created in each class of the package an ""initialize"" method that add in the Transcript the name of the class instanciated  #Hiedra asPackage classes do: [ :c | c compile: 'initialize 	Transcript crShow: self class name.' ]",,,,
Task 10,control,participant-20,,,I wanted to look for all occurence of color. So I try by adding a metalink into all color method  But with the system runing at the same time it was too hard to distinguish the correct value  link := MetaLink new 		metaObject: [ :context :object |  			(object class name beginsWithAnyOf: {#Rub. #SolidFill . #FTT})  ifFalse: [   			Transcript crShow: object class name. 			Transcript crShow: context. ] 			 ],selector: #value:value:,option: #(+optionCompileOnLinkInstallation),arguments: #(context object),control: #before. 		 (#color: implementors reject: [:mm | mm printString beginsWith: #Rub ]) collect: #ast thenDo: [ :ast | ast link: link ].
Task 12,control,participant-20,,,"matrix, connectedLines, encompassingRectangles, parent  I have inspected the instance during the execution to detect modification in the variable",,,,
Task 01,seeker,participant-20,,,onNewEventDo: I used the All instance of subclass of exception,,,,
Task 03,seeker,participant-20,,,"Twice, for the test itself (testApproxVersion02). I use the all message send with selected selector. But I did it to test the feature. I think by reading the method is also fast",,,,
Task 05,seeker,participant-20,,,Three times. Always from MicHeaderBlock>>#asPillar  called inside MicRootBlock  I use the All instance of class name feature. Then I navigated in the stack,,,,
Task 09,seeker,participant-20,,,"During the complete test execution, what is(are) the class(es) of every object receiving the #scale: message?.  NSPowPowScale. NSPowScale. NSLinearScale. NSBilinearScale.   ""And what are the values of the arguments in each message?"" 0, 1, 9 , 3.0000000000000004, 36756666, 4661900, 2159.1433486454753   For the first question, I use All message send with selector  for the second tast, i navigated in the stacks",,,,
Task 14,seeker,participant-20,,,"nil -> 25 -> 28 -> 29 -> nil  I first look for all instance variable assignement. Then I use the search bar of the seeker to find extract only the assignement to ""pc""",,,,
Task 01,control,participant-05,,,"I think it's onNewEventDo: . I browsed the RSMonitorEvents class, saw that there was no initialize so the RSMoniterEvents new just create a new object without doing nothing. And so the only thing which do actually something is onNewEventdo: , so I think it is the domain method",,,,
Task 03,control,participant-05,,,"It was two times, and it's from the ByteString class. I search in the spotter every implementation of asMetacelloVersionNumber and put a halt in each one. Then I ran the test, and so the message halt twice, each time it was with the one in the ByteString class",,,,
Task 05,control,participant-05,,,There are 3 instances of PRHeader which are created. I created a initilize with a halt in the PRHeader class and just count. When I have a halt I look the stack and search for the last instruction in testHeader. I think it's asPillar which creates these instances.,,,,
Task 09,control,participant-05,,,"The class is NSPowScale. We can see that in the test with the assert sqtr class equals: NSPowScale and the message scale is send to sqrt. By putting so halt in the test just before the execution of the scale method, we can see that the first scale message is send to NSPowScale(#(0,1),#(0,1)) and the second one to NSPowScale(#(0 36756666), #(0 222))",,,,
Task 14,control,participant-05,,,The values of pc are 28 and 35. I used multiple halt in the test and check with a crtl i the value of pc in newContext,,,,
Task 02,seeker,participant-05,,,"I think I wrong but I would say that they are signaled by should raise. I oppened the seeker and search raise in messages ( I didn""t found exeption)",,,,
Task 04,seeker,participant-05,,,"atEnd is called 10 times. I oppened the seeker, did seeker messages and search atEnd. They are 10 of them, they are called by the test method directly or by the next method.",,,,
Task 08,seeker,participant-05,,,"Once again I used the seeker and look of all the instance creations and searched Hiedra. There are 6 of them, the senders are HiRulerBuiler, HiRuler, HiNNode,HiLink",,,,
Task 10,seeker,participant-05,,,"I searched color in the seeker all message. The class which received the message are shapes first, RSNormalizer, RSBox. I'm not sure to understand the second question. Of which arguments are we talking about.",,,,
Task 12,seeker,participant-05,,,"I used the seeker, selected the b1 object and search all the assignments with the seeker. The instance variable modified are paint isFIxed matrix ShouldUpdateLines baseRectangle path connectedLines parent",,,,
Task 02,control,participant-14,,,the method STONWriter >> error: signals an exception. This happens two times,,,,
Task 04,control,participant-14,,,"it is called 7 times, 4 times from GeneratorTest>>testAtEnd and 3 times from Generator>>next. I added the instruction ""Transcript show: thisContext sender asString"" at the beginning of the method Generator >> atEnd",,,,
Task 08,control,participant-14,,,"6 instances are created, from the following classes:  HiRulerBuilder HiRuler HiNode x2 HiLink x2  I first broke the image by tying loging the name of the class from Behavior >> new if the name of the package was #Hiedra.   Next I added a ""Transcript show: self class"" in the method initialize of all classes in Hiedra package",,,,
Task 10,control,participant-14,,,"I only found 2 times the message was sent. Both to instances of RSBox, once using green as argument and another one using red. But I cannot tell if there are more calls.   I placed a transcript show in the method RSShape >> color",,,,
Task 12,control,participant-14,,,"matrix, connectedLines and parent were modified.  I opened an inspector on the object b1 (raw view), and visually checked the changes on its instance variables as I stepped the execution",,,,
Task 01,seeker,participant-14,,,"RSMonitorEvents >> assert: description: I found out by stepping into the methods using traditional debugger, but then I realized that with seeker I can check all messages sends and there I saw in which method the message signal: was sent",,,,
Task 03,seeker,participant-14,,,"Messages with that selector are sent 2 times, both times from the method MetacelloCommonVersionNumberTestCase>>testApproxVersion02.  I discovered this by selecting the selector #asMetacelloVersionNumber and querying ""all Message Sends with selected selector"". To confirm my result I queried ""all Message Sends"" and then filtered the list with the selector I was looking for",,,,
Task 05,seeker,participant-14,,,"3 instances of PRHeader are created from the method MICHeaderBlock >> asPillar.  I found out first by querying all received and sent messages and filtering by the name of the receiver as PRHeader, looking for messages named ""new"", but then I discovered the query ""All Instances Creation of class named as selection"", confirming my result.",,,,
Task 09,seeker,participant-14,,,"NSPowPowScale, NSPowScale, NSLinearScale,NSBilinearScale.  I used the query ""all message sends"" and filtered by the name of the message",,,,
Task 14,seeker,participant-14,,,"nil, 25, 28, 29 nil  I used the query ""All the assignments of instance variables, of the object currently pointer by the selected variable"" on newContext",,,,
Task 01,control,participant-30,,,RSMonitorEvents>>assert:description:,,,,
Task 03,control,participant-30,,,only 2 times from the test case itself,,,,
Task 05,control,participant-30,,,3 instances created in 2 methods: - MicRootBlock>>asPillar - MicHeaderBlock>>asPillar,,,,
Task 09,control,participant-30,,,3 classes:  NSPowScale.  NSLinearScale. NSBilinearScale.  the different args:  9 3.0000000000000004 4661900 2159.1433486454753,,,,
Task 14,control,participant-30,,,"28,29,35",,,,
Task 02,seeker,participant-30,,,both signaled in STONWriter>>error:,,,,
Task 04,seeker,participant-30,,,called 7 times from:  - GeneratorTest>>atEnd - Generator>>next,,,,
Task 08,seeker,participant-30,,,6 instances from Classes: - HiRulerBuilder - HiRuler - 2*HiNode - 2*HiLink,,,,
Task 10,seeker,participant-30,,,2 messages color: sent to 2 instances of RSBox - message 1 parameter: Color green - message 2 parameter: Color red,,,,
Task 12,seeker,participant-30,,,- paint - isFixed - matrix - shouldUpdateLine - baseRectangle - connectedLines - encompassingRectangle - parent,,,,
Task 02,control,participant-24,,,STONWriter writeObject: anObject do: block emits STONWriterError when called from STONJSON toString: object STONWriter writeObject: anObject do: block emits STONWriterError when called from STONJSON toString: object,,,,
Task 03,control,participant-24,,,Twice from the test. testApproxVersion02.,,,,
Task 07,control,participant-24,,,MicORderedListBlockTest 1  MicroDownPArser 1  MicRootBlock 1  MicOrderedListBlock 1  MicListItemBlock 2,,,,
Task 10,control,participant-24,,,RSBox green RSBox red,,,,
Task 11,control,participant-24,,,showRectangles shapes fixedShapes nodes edges animations clearBackground color extent camera,,,,
Task 01,seeker,participant-24,,,RSMonitor onNewEventDo: aBlockClosure. due to an assertion,,,,
Task 04,seeker,participant-24,,,7 times. 4 from the test. 3 from next,,,,
Task 06,seeker,participant-24,,,1. From MicCodeBlock asPillar,,,,
Task 09,seeker,participant-24,,,NSPowPowScale x8 NSPowScale x2 NSLinearScale x2 NSBilinearScale x2,,,,
Task 13,seeker,participant-24,,,"pragmas #() source methodPragmaAfterBeforTemps x2  keywordsPositions nil, IntegerArray(1)",,,,
Task 01,control,participant-21,,,RSMonitorEvent>>onNewEvenDo:,,,,
Task 04,control,participant-21,,,3 times GeratorTest(TestAsserter)>>deny: and assert: once,,,,
Task 06,control,participant-21,,,"once, by MicRootBlock>>asPilar (inside it setChildren: ...)",,,,
Task 09,control,participant-21,,,NSPowScale 9 NSPowPowScale 0  NSPowPowScale 36756666 NSPowScale 4661900 are there more...didn-t go deepdown,,,,
Task 13,control,participant-21,,,"it changes only once after parsing(?)  OrderedCollection(RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))  'methodPragmaAfterBeforTemps <hello: 5> | aTemp | <world: #ok> <blue: true>' an IntegerArray(1), respectively",,,,
Task 02,seeker,participant-21,,,STONWriter>>escape:with:,,,,
Task 03,seeker,participant-21,,,2 time from MetacelloVersionNumber>>~>,,,,
Task 07,seeker,participant-21,,,3: MicRootBlock MicOrderedListBlock MicListItemBlock  !Filter didn't work. May be I missed some going through manually,,,,
Task 10,seeker,participant-21,,,several. I found 2 as fitlter does not work. porobablz there is more (like lightGray :) )  RSBox Color green RSBox Color red,,,,
Task 11,seeker,participant-21,,,showRectangles shapes fiedShapes nodes edges animations clearBackground  color extent camera  !it is strange that it gives me onl initialize as assignment,,,,
Task 01,control,participant-11,,,it's come from assert: message defined in Object.   In order to find I it  I ask implementor of  the message send to the object in test. I put an halt at the start of the method and I inspect the expression give as argument to assert: message.,,,,
Task 03,control,participant-11,,,It's call 2 times. it's come from the methods install in String class.  in order to know this : I created a counter. I place halt in each emplementor of asMetacelloVersionNumber. I execute the tests (only String react ) So I put my counter in this method and rexecute the tests,,,,
Task 05,control,participant-11,,,"3 instances are created from MicHeaderBlock >> #asPillar method.  In order to know this. I ask allInstances before runing test store it into a temporary variable. ask the difference at the end of the test between allinstances and the temporary variable.  I ask the reference to PRHeader I found only one class that are not in the tests , so it's come from this method.",,,,
Task 09,control,participant-11,,,"there are 6 call: 2 in BilinearScale 2 in linearScale 2 in powScale  ""an OrderedCollection [6 items] (a NSPowScale(#(0 1), #(0 1))->9 a NSLinearScale(#(0 1.0), #(0 1))->3.0000000000000004 a NSBilinearScale(#(0 1.0), #(0 1))->3.0000000000000004 a NSPowScale(#(0 36756666), #(0 220))->4661900 a NSLinearScale(#(0 6062.727603974968), #(0 220))->2159.1433486454753 a NSBilinearScale(#(0 6062.727603974968), #(0 220))->2159.1433486454753)"" this is a colletion of association (receiver -> arguments ) .  In order to know this :  1- I put a counter on each scale: method in each class with a package name looking like math package name 2 - put  a singleton collector  in each method with a counter > 0 and adding the association  of receiver and arguments",,,,
Task 14,control,participant-11,,,"It was difficult.   Finaly Ifound this  ""a Dictionary [2 items] (SimulationMock(Object)>>yourself->an OrderedCollection(35) SimulationMock>>exampleSelfReturnCall->an OrderedCollection(35) )"" si pc was 35 and 35.  in order to know this I collect all context associate to a pc. in order to this I put an instruction storing this information into my object. I place this instruction after each messge send to newContext.",,,,
Task 02,seeker,participant-11,,,is signaled by the Kernel from the STONCore   in order to know this I ask all instanciatio of the error classes  with the seeker debugger,,,,
